trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.5, 'e': 0.2671353019658504}",20,11,-3.236901802707532,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.26660156527652024}",25,16,15.725600690965296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.26606889499380665}",20,0,2.0337280568332985,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.26553728898702783}",20,0,5.765849069398025,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.26500674512975897}",20,0,8.110672644508867,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,0,-14.24422844028143,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.2639488353792868}",20,13,13.343836788907163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.26342146525444315}",20,0,-5.772335651025353,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.26289514881581166}",20,12,5.513882001315242,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.262369883958126}",20,0,-5.697397474314223,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.261845668580326}",20,3,7.024117102414019,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.26132250058554946}",25,0,-88.3722412985416,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
173,False,"{'a': 0.5, 'e': 0.26080037788112365}",20,4,15.682032721930993,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.2602792983785572}",25,6,20.246924703211672,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.25975925999353117}",20,0,-16.56209056897425,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,0,8.17504351675103,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.2587222982596401}",20,0,-44.477498701993454,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.2582053707629267}",20,2,-23.590447033343228,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.2576894760880406}",20,0,-12.049656427200551,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.2571746121714025}",20,3,-2.047071660360486,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.2566607769535559}",35,0,-140.55645292764555,"{0: 27, 1: 2, 2: 1, 3: 2, 4: 3}",0
182,False,"{'a': 0.5, 'e': 0.2561479683791594}",35,9,-26.683928666174296,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.2556361843969779}",25,16,17.860333462057845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.25512542295987484}",20,3,14.007273066917888,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
